group,metric,fcfs,priority,delta,pct_change
overall,avg_wait_ms,175.62594994846154,175.62594994846154,0.0,0.0
overall,max_wait_ms,938.4275152683258,941.0383902415633,2.6108749732375145,0.27821807553148986
overall,avg_response_ms,249.73157329359697,249.73157329359697,0.0,0.0
overall,p95_response_ms,937.2599941566586,937.8179266750813,0.5579325184226036,0.059528041514737666
overall,p99_response_ms,1093.6819839328527,1094.0883694291115,0.40638549625873566,0.03715755605641265
urgent,avg_wait_ms,117.84422754022053,52.2337201054037,-65.61050743481684,-55.675622645516356
urgent,max_wait_ms,938.2457296401262,780.680930420558,-157.56479921956827,-16.793553569383562
urgent,avg_response_ms,166.45129704074307,100.84078960592622,-65.61050743481685,-39.41724011844561
urgent,p95_response_ms,782.9784657284617,466.7693485170603,-316.20911721140146,-40.385416847602464
urgent,p99_response_ms,1093.7940732836723,624.5311415251344,-469.2629317585379,-42.90231070184597
non_urgent,avg_wait_ms,186.33770748680956,198.5007898304661,12.163082343656527,6.527440155674087
non_urgent,max_wait_ms,938.4275152683258,941.0383902415633,2.6108749732375145,0.27821807553148986
non_urgent,avg_response_ms,265.1703329872675,277.333415330924,12.163082343656527,4.586894094310525
non_urgent,p95_response_ms,937.3099470827729,938.2128564268351,0.9029093440622091,0.09632985832193182
non_urgent,p99_response_ms,1093.651189763099,1094.3138156682253,0.6626259051263332,0.06058841350228566
